City,State,District
Kutiyana,Gujarat,Porbandar
Kuzhithurai,Tamil Nadu,Kanniyakumari
Kwakta,Manipur,Bishnupur
Kyathampalle,Andhra Pradesh,Adilabad
Kymore,Madhya Pradesh,Katni
L.B. Nagar,Andhra Pradesh,Rangareddi
Labbaikudikadu,Tamil Nadu,Perambalur
Lachhmangarh,Rajasthan,Sikar
Ladnu,Rajasthan,Nagaur
Ladrawan,Haryana,Jhajjar
Ladwa,Haryana,Kurukshetra
Lahar,Madhya Pradesh,Bhind
Laharpur,Uttar Pradesh,Sitapur
Lakarka,Jharkhand,Dhanbad
Lakhenpur,Jammu & Kashmir,Kathua
Lakheri,Rajasthan,Bundi
Lakhimpur,Uttar Pradesh,Kheri
Lakhipur,Assam,Goalpara
Lakhipur,Assam,Cachar
Lakhisarai,Bihar,Lakhisarai
Lakhna,Uttar Pradesh,Etawah
Lakhnadon,Madhya Pradesh,Seoni
Lakkampatti,Tamil Nadu,Erode
Laksar,Uttaranchal,Hardwar
Lakshmeshwar,Karnataka,Gadag
Lal Gopalganj Nindaura,Uttar Pradesh,Allahabad
Lala,Assam,Hailakandi
Lalganj,Bihar,Vaishali
Lalganj,Uttar Pradesh,Rae Bareli
Lalgudi,Tamil Nadu,Tiruchirappalli
Lalitpur,Uttar Pradesh,Lalitpur
Lalkuan,Uttaranchal,Nainital
Lalpet,Tamil Nadu,Cuddalore
Lalsot,Rajasthan,Dausa
Lamai,Manipur,Imphal East
Lambha,Gujarat,Ahmadabad
Lamjaotongba,Manipur,Imphal West
Lamshang,Manipur,Imphal West
Landaura,Uttaranchal,Hardwar
Landour,Uttaranchal,Dehradun
Lanja,Maharashtra,Ratnagiri
Lanka,Assam,Nagaon
Lansdowne,Uttaranchal,Garhwal
Lapanga,Jharkhand,Hazaribag
Lar,Uttar Pradesh,Deoria
Lasalgaon,Maharashtra,Nashik
Latehar,Jharkhand,Palamu
Lateri,Madhya Pradesh,Vidisha
Lathi,Gujarat,Amreli
Lattikata,Orissa,Sundargarh
Latur,Maharashtra,Latur
Laundi,Madhya Pradesh,Chhatarpur
Lauthaha,Bihar,Purba Champaran
Lawar NP,Uttar Pradesh,Meerut
Ledwa Mahua,Uttar Pradesh,Sant Kabir Nagar
Leh,Jammu & Kashmir,Leh (Ladakh)
Lehragaga,Punjab,Sangrur
Lengpui,Mizoram,Mamit
Libas Pur,Delhi *,North West
Lidhorakhas,Madhya Pradesh,Tikamgarh
Lido Tikok,Assam,Tinsukia
Lido Town,Assam,Tinsukia
Lilong (Imphal West),Manipur,Imphal West
Lilong (Thoubal),Manipur,Thoubal & Imphal West
Limbdi,Gujarat,Surendranagar
Limla,Gujarat,Surat
Lingiyadih,Chhattisgarh,Bilaspur
Lingsugur,Karnataka,Raichur
Llayangudi,Tamil Nadu,Sivaganga
Lodhian Khas,Punjab,Jalandhar
Lodhikheda,Madhya Pradesh,Chhindwara
Loha,Maharashtra,Nanded
Lohaghat,Uttaranchal,Champawat
Loharda,Madhya Pradesh,Dewas
Lohardaga,Jharkhand,Lohardaga
Loharu,Haryana,Bhiwani
Lohta,Uttar Pradesh,Varanasi
Lonar,Maharashtra,Buldana
Lonavala,Maharashtra,Pune
Londa,Karnataka,Belgaum
Longowal,Punjab,Sangrur
Loni,Uttar Pradesh,Ghaziabad
Lormi,Chhattisgarh,Bilaspur
Losal,Rajasthan,Sikar
Loyabad,Jharkhand,Dhanbad
Lucknow,Uttar Pradesh,Lucknow
Lucknow,Uttar Pradesh,Lucknow
Ludhiana,Punjab,Ludhiana
Lumding,Assam,Nagaon
Lumding Rly Colony,Assam,Nagaon
Lunawada,Gujarat,Panch Mahals
Lunglei,Mizoram,Lunglei
Machalpur,Madhya Pradesh,Rajgarh
Macherla,Andhra Pradesh,Guntur
Machhiwara,Punjab,Ludhiana
Machhlishahr,Uttar Pradesh,Jaunpur
Machilipatnam,Andhra Pradesh,Krishna
Madambakkam,Tamil Nadu,Kancheepuram
Madanapalle,Andhra Pradesh,Chittoor
Madanpur,West Bengal,Nadia
Madanrting,Meghalaya,East Khasi Hills
Madaram,Andhra Pradesh,Adilabad
Madathukulam,Tamil Nadu,Coimbatore
Madavaram,Tamil Nadu,Thiruvallur
Maddur,Karnataka,Mandya
Madhavnagar,Maharashtra,Sangli
Madhepura,Bihar,Madhepura
Madhoganj,Uttar Pradesh,Hardoi
Madhogarh,Uttar Pradesh,Jalaun
Madhubani,Bihar,Madhubani
Madhugiri,Karnataka,Tumkur
Madhupur,Jharkhand,Deoghar
Madhusudanpur,West Bengal,Hugli
Madhyamgram,West Bengal,North Twentyfour Parganas
Madikeri,Karnataka,Kodagu
Madippakkam,Tamil Nadu,Kancheepuram
Madukkarai,Tamil Nadu,Coimbatore
Madukkur,Tamil Nadu,Thanjavur
Madurai,Tamil Nadu,Madurai
Maduranthakam,Tamil Nadu,Kancheepuram
Maduravoyal,Tamil Nadu,Thiruvallur
Magadi,Karnataka,Bangalore Rural
Magam,Jammu & Kashmir,Badgam
Maghar,Uttar Pradesh,Sant Kabir Nagar
Mahabaleshwar,Maharashtra,Satara
Mahaban,Uttar Pradesh,Mathura
Mahad,Maharashtra,Raigarh
Mahadevapura,Karnataka,Bangalore
Mahadula,Maharashtra,Nagpur
Mahalingpur,Karnataka,Bagalkot
Maham,Haryana,Rohtak
Maharajganj,Bihar,Siwan
Maharajpur,Madhya Pradesh,Chhatarpur
Mahasamund,Chhattisgarh,Mahasamund
Mahbubnagar,Andhra Pradesh,Mahbubnagar
Mahe,Pondicherry *,Mahe
Mahemdavad,Gujarat,Kheda
Mahendragarh,Haryana,Mahendragarh
Mahesana,Gujarat,Mahesana
Maheshtala,West Bengal,South Twentyfour Parganas
Maheshwar,Madhya Pradesh,West Nimar
Mahiari,West Bengal,Haora
Mahidpur,Madhya Pradesh,Ujjain
Mahilpur,Punjab,Hoshiarpur
Mahira,West Bengal,Barddhaman
Mahmudabad,Uttar Pradesh,Sitapur
Mahnar Bazar,Bihar,Vaishali
Mahoba,Uttar Pradesh,Mahoba
Maholi,Uttar Pradesh,Sitapur
Mahona,Uttar Pradesh,Lucknow
Mahrajganj,Uttar Pradesh,Rae Bareli
Mahrajganj,Uttar Pradesh,Maharajganj
Mahrajganj,Uttar Pradesh,Azamgarh
Mahroni,Uttar Pradesh,Lalitpur
Mahu Kalan,Rajasthan,Sawai Madhopur
Mahua Dabra Haripura,Uttaranchal,Udham Singh Nagar
Mahua Kheraganj,Uttaranchal,Udham Singh Nagar
Mahudha,Gujarat,Kheda
Mahur,Assam,North Cachar Hills
Mahuva,Gujarat,Bhavnagar
Mahuvar,Gujarat,Navsari
Mahwa,Rajasthan,Dausa
Maibong,Assam,North Cachar Hills
Maihar,Madhya Pradesh,Satna
Mailani,Uttar Pradesh,Kheri
Mainaguri,West Bengal,Jalpaiguri
Maindargi,Maharashtra,Solapur
Mainpuri,Uttar Pradesh,Mainpuri
Mairang,Meghalaya,West Khasi Hills
Mairwa,Bihar,Siwan
Maithon,Jharkhand,Dhanbad
Majgaon,Assam,Sonitpur
Majhara Pipar Ehatmali,Uttar Pradesh,Unnao
Majhauli Raj,Uttar Pradesh,Deoria
Majholi,Madhya Pradesh,Jabalpur
Majitha,Punjab,Amritsar
Makarba,Gujarat,Ahmadabad
Makardaha,West Bengal,Haora
Makhdumpur,Bihar,Jehanabad
Makhu,Punjab,Firozpur
Makrana,Rajasthan,Nagaur
Makronia,Madhya Pradesh,Sagar
Maksi,Madhya Pradesh,Shajapur
Maktampur,Gujarat,Bharuch
Makum,Assam,Tinsukia
Makundapur,Orissa,Ganjam
Mal,West Bengal,Jalpaiguri
Malaj Khand,Madhya Pradesh,Balaghat
Malappuram,Kerala,Malappuram
Malavalli,Karnataka,Mandya
Malegaon,Maharashtra,Nashik
Malerkotla,Punjab,Sangrur
Malhargarh,Madhya Pradesh,Mandsaur
Malihabad,Uttar Pradesh,Lucknow
Malkajgiri,Andhra Pradesh,Rangareddi
Malkangiri,Orissa,Malkangiri
Malkapur,Maharashtra,Buldana
Malkapur,Maharashtra,Akola
Malkapur,Maharashtra,Kolhapur
Malkera,Jharkhand,Dhanbad
Mallamooppampatti,Tamil Nadu,Salem
Mallankinaru,Tamil Nadu,Virudhunagar
Mallar,Karnataka,Udupi
Mallasamudram,Tamil Nadu,Namakkal
Mallawan,Uttar Pradesh,Hardoi
Mallur,Tamil Nadu,Salem
Maloud,Punjab,Ludhiana
Malout,Punjab,Muktsar
Malpur,Gujarat,Sabar Kantha
Malpura,Rajasthan,Tonk
Malur,Karnataka,Kolar
Malwan,Maharashtra,Sindhudurg
Mamallapuram,Tamil Nadu,Kancheepuram
Mamit,Mizoram,Mamit
Mamsapuram,Tamil Nadu,Virudhunagar
Manachanallur,Tamil Nadu,Tiruchirappalli
Manadur,Maharashtra,Sangli
Manali,Tamil Nadu,Thiruvallur
Manali,Himachal Pradesh,Kullu
Manalmedu,Tamil Nadu,Nagapattinam
Manalurpet,Tamil Nadu,Viluppuram
Manamadurai,Tamil Nadu,Sivaganga
Manapakkam,Tamil Nadu,Kancheepuram
Manapparai,Tamil Nadu,Tiruchirappalli
Manasa,Madhya Pradesh,Neemuch
Manavadar,Gujarat,Junagadh
Manavalakurichi,Tamil Nadu,Kanniyakumari
Manawar,Madhya Pradesh,Dhar
Manchar,Maharashtra,Pune
Mancherial,Andhra Pradesh,Adilabad
Mandaikadu,Tamil Nadu,Kanniyakumari
Mandalgarh,Rajasthan,Bhilwara
Mandamarri,Andhra Pradesh,Adilabad
Mandapam,Tamil Nadu,Ramanathapuram
Mandapeta,Andhra Pradesh,East Godavari
Mandarbani,West Bengal,Barddhaman
Mandav,Madhya Pradesh,Dhar
Mandawa,Rajasthan,Jhunjhunun
Mandawar,Uttar Pradesh,Bijnor
Mandawar,Rajasthan,Dausa
Mandi,Himachal Pradesh,Mandi
Mandi Dabwali,Haryana,Sirsa
Mandideep,Madhya Pradesh,Raisen
Mandla,Madhya Pradesh,Mandla
Mandleshwar,Madhya Pradesh,West Nimar
Mandsaur,Madhya Pradesh,Mandsaur
Mandvi,Gujarat,Kachchh
Mandya,Karnataka,Mandya
Manegaon,Madhya Pradesh,Jabalpur
Manendragarh,Chhattisgarh,Koriya
Maner,Bihar,Patna
Mangadu,Tamil Nadu,Kancheepuram
Mangalagiri,Andhra Pradesh,Guntur
Mangalam,Tamil Nadu,Coimbatore
Mangalampet,Tamil Nadu,Cuddalore
Mangaldoi,Assam,Darrang
Mangalore,Karnataka,Dakshina Kannada
Mangalvedhe,Maharashtra,Solapur
Mangan,Sikkim,North
Mangawan,Madhya Pradesh,Rewa
Manglaur,Uttaranchal,Hardwar
Manglaya Sadak,Madhya Pradesh,Indore
Mango,Jharkhand,Purbi Singhbhum
Mangrol,Gujarat,Junagadh
Mangrol,Rajasthan,Baran
Mangrulpir,Maharashtra,Washim
Manihari,Bihar,Katihar
Manikpur,West Bengal,Haora
Manikpur,Uttar Pradesh,Pratapgarh
Manikpur Sarhat,Uttar Pradesh,Chitrakoot
Manimutharu,Tamil Nadu,Tirunelveli
Maniyar,Uttar Pradesh,Ballia
Manjeri,Kerala,Malappuram
Manjeshwar,Kerala,Kasaragod
Manjhanpur,Uttar Pradesh,Kaushambi
Manjlegaon,Maharashtra,Bid
Mankachar,Assam,Dhubri
Mankapur,Uttar Pradesh,Gonda
Manmad,Maharashtra,Nashik
Mannargudi,Tamil Nadu,Thiruvarur
Manohar Thana,Rajasthan,Jhalawar
Manor,Maharashtra,Thane
Manpur,Madhya Pradesh,Indore
Mansa,Gujarat,Gandhinagar
Mansa,Punjab,Mansa
Mansar,Maharashtra,Nagpur
Mansinhapur,West Bengal,Haora
Mant Khas,Himachal Pradesh,Kangra
Manugur,Andhra Pradesh,Khammam
Manvi,Karnataka,Raichur
Manwath,Maharashtra,Parbhani
Mappilaiurani,Tamil Nadu,Toothukudi
Mapusa,Goa,North Goa
Maradu,Kerala,Ernakulam
Maraimalainagar,Tamil Nadu,Kancheepuram
Marakkanam,Tamil Nadu,Viluppuram
Maramangalathupatti,Tamil Nadu,Salem
Marandahalli,Tamil Nadu,Dharmapuri
Marathakkara,Kerala,Thrissur
Marehra,Uttar Pradesh,Etah
Margao,Goa,South Goa
Margherita,Assam,Tinsukia
Marhaura,Bihar,Saran
Mariahu,Uttar Pradesh,Jaunpur
Mariani,Assam,Jorhat
Marigaon,Assam,Marigaon
Markapur,Andhra Pradesh,Prakasam
Markayankottai,Tamil Nadu,Theni
Marma,Jharkhand,Dhanbad
Maruadih Rly. Settlement,Uttar Pradesh,Varanasi
Marudur,Tamil Nadu,Kapur
Marungur,Tamil Nadu,Kanniyakumari
Marwar Junction,Rajasthan,Pali
Masaurhi,Bihar,Patna
Maslandapur,West Bengal,North Twentyfour Parganas
Maswasi,Uttar Pradesh,Rampur
Mataundh,Uttar Pradesh,Banda
Mathabhanga,West Bengal,Koch Bihar
Matheran,Maharashtra,Raigarh
Mathigiri,Tamil Nadu,Dharmapuri
Mathura,Uttar Pradesh,Mathura
Mathura,Uttar Pradesh,Mathura
Mattan,Jammu & Kashmir,Anantnag
Mattannur,Kerala,Kannur
Mau,Madhya Pradesh,Bhind
Mau Aima,Uttar Pradesh,Allahabad
Maudaha,Uttar Pradesh,Hamirpur
Mauganj,Madhya Pradesh,Rewa
Maunath Bhanjan,Uttar Pradesh,Mau
Maur,Punjab,Bathinda
Mauranipur,Uttar Pradesh,Jhansi
Maurawan,Uttar Pradesh,Unnao
Mavelikkara,Kerala,Alappuzha
Mavilayi,Kerala,Kannur
Mavoor,Kerala,Kozhikode
Mawana,Uttar Pradesh,Meerut
Mawlai,Meghalaya,East Khasi Hills
Mayang Imphal,Manipur,Imphal West
Mayiladuthurai,Tamil Nadu,Nagapattinam
Mecheri,Tamil Nadu,Salem
Medak,Andhra Pradesh,Medak
Medinipur,West Bengal,Medinipur
Meenambakkam,Tamil Nadu,Kancheepuram
Meerpet,Andhra Pradesh,Rangareddi
Meerut,Uttar Pradesh,Meerut
Meerut,Uttar Pradesh,Meerut
Meghahatuburu Forest village,Jharkhand,Pashchimi Singhbhum
Meghnagar,Madhya Pradesh,Jhabua
Meghraj,Gujarat,Sabar Kantha
Mehara Gaon,Madhya Pradesh,Hoshangabad
Mehatpur Basdehra,Himachal Pradesh,Una
Mehdawal,Uttar Pradesh,Sant Kabir Nagar
Mehgaon,Madhya Pradesh,Bhind
Mehkar,Maharashtra,Buldana
Mehmand,Chhattisgarh,Bilaspur
Mehnagar,Uttar Pradesh,Azamgarh
Mekliganj,West Bengal,Koch Bihar
Melacheval,Tamil Nadu,Tirunelveli
Melachokkanathapuram,Tamil Nadu,Theni
Melagaram,Tamil Nadu,Tirunelveli
Melamadai,Tamil Nadu,Madurai
Melamaiyur,Tamil Nadu,Kancheepuram
Melathiruppanthuruthi,Tamil Nadu,Thanjavur
Melattur,Tamil Nadu,Thanjavur
Melpattampakkam,Tamil Nadu,Cuddalore
Melur,Tamil Nadu,Madurai
Melvisharam,Tamil Nadu,Vellore
Memari,West Bengal,Barddhaman
Memnagar,Gujarat,Ahmadabad
Mendu,Uttar Pradesh,Hathras
Mera,Jharkhand,Dhanbad
Merta City,Rajasthan,Nagaur
Meru,Jharkhand,Hazaribag
Methala,Kerala,Thrissur
Mettupalayam,Tamil Nadu,Coimbatore
Mettupalayam,Tamil Nadu,Tiruchirappalli
Mettur,Tamil Nadu,Salem
Mhasla,Maharashtra,Raigarh
Mhaswad,Maharashtra,Satara
Mhow Cantt.,Madhya Pradesh,Indore
Mhowgaon,Madhya Pradesh,Indore
Mihijam,Jharkhand,Dumka
Mihona,Madhya Pradesh,Bhind
Milak,Uttar Pradesh,Rampur
Minicoy,Lakshadweep *,Lakshadweep
Minjur,Tamil Nadu,Thiruvallur
Mira-Bhayandar,Maharashtra,Thane
Miranpur,Uttar Pradesh,Muzaffarnagar
Mirganj,Bihar,Gopalganj
Mirganj,Uttar Pradesh,Bareilly
Mirik,West Bengal,Darjiling
Mirpur Turk,Delhi *,North East
Miryalguda,Andhra Pradesh,Nalgonda
Mirzapur-cum-Vindhyachal,Uttar Pradesh,Mirzapur
Misrikh-cum-Neemsar,Uttar Pradesh,Sitapur
Mithapur,Gujarat,Jamnagar
Mithe Pur,Delhi *,South
Modak,Rajasthan,Kota
Modakurichi,Tamil Nadu,Erode
Modasa,Gujarat,Sabar Kantha
Modinagar,Uttar Pradesh,Ghaziabad
Moga,Punjab,Moga
Mogra Badshahpur,Uttar Pradesh,Jaunpur
Mogravadi,Gujarat,Valsad
Mohammadabad,Uttar Pradesh,Farrukhabad
Mohammadabad,Uttar Pradesh,Ghazipur
Mohammadi,Uttar Pradesh,Kheri
Mohan,Uttar Pradesh,Unnao
Mohanpur,Uttar Pradesh,Etah
Mohanpur Mohammadpur,Uttaranchal,Hardwar
Mohanur,Tamil Nadu,Namakkal
Mohgaon,Madhya Pradesh,Chhindwara
Mohiuddinagar,Bihar,Samastipur
Mohiuddinpur,Uttar Pradesh,Meerut
Mohpa,Maharashtra,Nagpur
Mohpada Alias Wasambe,Maharashtra,Raigarh
Moirang,Manipur,Bishnupur
Mokameh,Bihar,Patna
Mokokchung,Nagaland,Mokokchung
Molakalmuru,Karnataka,Chitradurga
Molar Band,Delhi *,South
Mon,Nagaland,Mon
Monoharpur,West Bengal,Hugli
Moolakaraipatti,Tamil Nadu,Tirunelveli
Moonak,Punjab,Sangrur
Moovarasampettai,Tamil Nadu,Kancheepuram
Mopperipalayam,Tamil Nadu,Coimbatore
Moradabad,Uttar Pradesh,Moradabad
Moragudi,Andhra Pradesh,Cuddapah
Moran Town,Assam,Dibrugarh
Moranhat,Assam,Sibsagar
Morar Cantt.,Madhya Pradesh,Gwalior
Moreh,Manipur,Chandel
Morena,Madhya Pradesh,Morena
Morinda,Punjab,Rupnagar
Mormugao,Goa,South Goa
Morshi,Maharashtra,Amravati
Morvi,Gujarat,Rajkot
Motera,Gujarat,Gandhinagar
Moth,Uttar Pradesh,Jhansi
Motihari,Bihar,Purba Champaran
Motipur,Bihar,Muzaffarpur
Mount Abu,Rajasthan,Sirohi
Mowa,Chhattisgarh,Raipur
Mowad,Maharashtra,Nagpur
Mrigala,West Bengal,Hugli
Mubarakpur,Uttar Pradesh,Azamgarh
Mudalgi,Karnataka,Belgaum
Mudbidri,Karnataka,Dakshina Kannada
Muddebihal,Karnataka,Bijapur
Mudgal,Karnataka,Raichur
Mudhol,Karnataka,Bagalkot
Mudigere,Karnataka,Chikmagalur
Mudkhed,Maharashtra,Nanded
Mudukulathur,Tamil Nadu,Ramanathapuram
Mudushedde,Karnataka,Dakshina Kannada
Mughalsarai,Uttar Pradesh,Chandauli
Mughalsarai Rly. Settlement,Uttar Pradesh,Chandauli
Mugma,Jharkhand,Dhanbad
Muhamma,Kerala,Alappuzha
Muhammadabad,Uttar Pradesh,Mau
Mukandgarh,Rajasthan,Jhunjhunun
Mukasipidariyur,Tamil Nadu,Erode
Mukerian,Punjab,Hoshiarpur
Mukhed,Maharashtra,Nanded
Mukhiguda,Orissa,Kalahandi
Mukkudal,Tamil Nadu,Tirunelveli
Mukrampur Khema,Uttar Pradesh,Bijnor
Muktsar,Punjab,Muktsar
Mul,Maharashtra,Chandrapur
Mulagumudu,Tamil Nadu,Kanniyakumari
Mulanur,Tamil Nadu,Erode
Mulavukad,Kerala,Ernakulam
Mulbagal,Karnataka,Kolar
Mulgund,Karnataka,Gadag
Mulki,Karnataka,Dakshina Kannada
Mullanpur Dakha,Punjab,Ludhiana
Mullanpur- Garibdas,Punjab,Rupnagar
Multai,Madhya Pradesh,Betul
Mulur,Karnataka,Dakshina Kannada
Mundargi,Karnataka,Gadag
Mundera Bazar,Uttar Pradesh,Gorakhpur
Munderi,Kerala,Kannur
Mundgod,Karnataka,Uttara Kannada
Mundi,Madhya Pradesh,East Nimar
Mundia,Uttar Pradesh,Budaun
Mundka,Delhi *,West
Mundra,Gujarat,Kachchh
Mundwa,Rajasthan,Nagaur
Mungaoli,Madhya Pradesh,Guna
Mungeli,Chhattisgarh,Bilaspur
Munger,Bihar,Munger
Muni Ki Reti,Uttaranchal,Tehri Garhwal
Munirabad Project Area,Karnataka,Koppal
Munnur,Karnataka,Dakshina Kannada
Muradnagar,Uttar Pradesh,Ghaziabad
Muragachha,West Bengal,North Twentyfour Parganas
Murbad,Maharashtra,Thane
Murgathaul,West Bengal,Barddhaman
Murgud,Maharashtra,Kolhapur
Muri,Jharkhand,Ranchi
Murliganj,Bihar,Madhepura
Mursan,Uttar Pradesh,Hathras
Murshidabad,West Bengal,Murshidabad
Murtijapur,Maharashtra,Akola
Murud,Maharashtra,Raigarh
Muruganpalayam,Tamil Nadu,Coimbatore
Murum,Maharashtra,Osmanabad
Murwara (Katni),Madhya Pradesh,Katni
Musabani,Jharkhand,Purbi Singhbhum
Musafirkhana,Uttar Pradesh,Sultanpur
Musiri,Tamil Nadu,Tiruchirappalli
Mussoori,Uttaranchal,Dehradun
Mustafabad,Haryana,Yamunanagar
Mustafabad,Delhi *,North East
Muthupet,Tamil Nadu,Thiruvarur
Muthur,Tamil Nadu,Erode
Muttayyapuram,Tamil Nadu,Toothukudi
Muvattupuzha,Kerala,Ernakulam
Muzaffarnagar,Uttar Pradesh,Muzaffarnagar
Muzaffarpur,Bihar,Muzaffarpur
Muzhappilangad,Kerala,Kannur
Myladi,Tamil Nadu,Kanniyakumari
Mysore,Karnataka,Mysore
N. Vanlaiphai,Mizoram,Serchhip
N.Kawnpui,Mizoram,Kolasib
Nabadwip,West Bengal,Nadia
Nabagram,West Bengal,Puruliya
Nabagram Colony,West Bengal,Hugli
Nabarangapur,Orissa,Nabarangapur
Nabgram,West Bengal,Barddhaman
Nabha,Punjab,Patiala
Nabinagar,Bihar,Aurangabad
Nachane,Maharashtra,Ratnagiri
Nachhratpur Katabari,West Bengal,Uttar Dinajpur
Nadathara,Kerala,Thrissur
Nadaun,Himachal Pradesh,Hamirpur
Nadbai,Rajasthan,Bharatpur
Nadiad,Gujarat,Kheda
Nadigaon,Uttar Pradesh,Jalaun
Naduvattam,Tamil Nadu,The Nilgiris
Nagai Chaudhry,Haryana,Mahendragarh
Nagamangala,Karnataka,Mandya
Nagaon,Assam,Nagaon
Nagapattinam,Tamil Nadu,Nagapattinam
Nagapur,Maharashtra,Ahmadnagar
Nagar,Rajasthan,Bharatpur
Nagardeole,Maharashtra,Ahmadnagar
Nagari,Andhra Pradesh,Chittoor
Nagarkurnool,Andhra Pradesh,Mahbubnagar
Nagaur,Rajasthan,Nagaur
Nagavakulam,Tamil Nadu,Madurai
Nagda,Madhya Pradesh,Ujjain
Nagercoil,Tamil Nadu,Kanniyakumari
Nagina,Uttar Pradesh,Bijnor
Nagla,Uttaranchal,Udham Singh Nagar
Nagod,Madhya Pradesh,Satna
Nagojanahalli,Tamil Nadu,Dharmapuri
Nagothana,Maharashtra,Raigarh
Nagpur,Maharashtra,Nagpur
Nagram,Uttar Pradesh,Lucknow
Nagri,Madhya Pradesh,Mandsaur
Nagri Kalan,Jharkhand,Dhanbad
Nagrota Bagwan,Himachal Pradesh,Kangra
Nahan,Himachal Pradesh,Sirmaur
Naharkatiya,Assam,Dibrugarh
Naharlagun,Arunachal Pradesh,Papum Pare
Nai Bazar,Uttar Pradesh,Sant Ravidas Nagar
Nai Garhi,Madhya Pradesh,Rewa
Naihati,West Bengal,North Twentyfour Parganas
Naila Janjgir,Chhattisgarh,Janjgir-Champa
Naina Devi,Himachal Pradesh,Bilaspur
Nainana Jat,Uttar Pradesh,Agra
Nainital,Uttaranchal,Nainital
Nainital,Uttaranchal,Nainital
Nainpur,Madhya Pradesh,Mandla
Nainwa,Rajasthan,Bundi
Najibabad,Uttar Pradesh,Bijnor
Nakoda,Maharashtra,Chandrapur
Nakodar,Punjab,Jalandhar
Nakur,Uttar Pradesh,Saharanpur
Nala Sopara,Maharashtra,Thane
Nalagarh,Himachal Pradesh,Solan
Nalbari,Assam,Nalbari
NALCO,Orissa,Anugul
Naldurg,Maharashtra,Osmanabad
Nalgonda,Andhra Pradesh,Nalgonda
Nalkheda,Madhya Pradesh,Shajapur
Nallampatti,Tamil Nadu,Erode
Nallur,Tamil Nadu,Kanniyakumari
Namagiripettai,Tamil Nadu,Namakkal
Namakkal,Tamil Nadu,Namakkal
Nambiyur,Tamil Nadu,Erode
Nambol,Manipur,Bishnupur & Imphal West
Namchi,Sikkim,South
Namli,Madhya Pradesh,Ratlam
Namna Kalan,Chhattisgarh,Surguja
Namrup,Assam,Dibrugarh
Namsai,Arunachal Pradesh,Lohit
Nanakvada,Gujarat,Valsad
Nanauta,Uttar Pradesh,Saharanpur
Nand Prayag,Uttaranchal,Chamoli
Nandambakkam,Tamil Nadu,Kancheepuram
Nanded-Waghala,Maharashtra,Nanded
Nandej,Gujarat,Ahmadabad
Nandesari,Gujarat,Vadodara
Nandesari INA,Gujarat,Vadodara
Nandgaon,Uttar Pradesh,Mathura
Nandgaon,Maharashtra,Nashik
Nandivaram-Guduvancheri,Tamil Nadu,Kancheepuram
Nandura,Maharashtra,Buldana
Nandurbar,Maharashtra,Nandurbar
Nandyal,Andhra Pradesh,Kurnool
Nangal,Punjab,Rupnagar
Nangal Dewat,Delhi *,South West
Nangal Thakran,Delhi *,North West
Nangavalli,Tamil Nadu,Salem
Nangavaram,Tamil Nadu,Kapur
Nangloi Jat,Delhi *,West
Nanguneri,Tamil Nadu,Tirunelveli
Nanjangud,Karnataka,Mysore
Nanjikottai,Tamil Nadu,Thanjavur
Nannilam,Tamil Nadu,Thiruvarur
Nanpara,Uttar Pradesh,Bahraich
Naoriya Pakhanglakpa,Manipur,Imphal West
Naraingarh,Haryana,Ambala
Naraini,Uttar Pradesh,Banda
Naranammalpuram,Tamil Nadu,Tirunelveli
Naranapuram,Tamil Nadu,Virudhunagar
Narasaraopet,Andhra Pradesh,Guntur
Narasimhanaickenpalayam,Tamil Nadu,Coimbatore
Narasimharajapura,Karnataka,Chikmagalur
Narasingapuram,Tamil Nadu,Vellore
Narasingapuram,Tamil Nadu,Salem
Narath,Kerala,Kannur
Narauli,Uttar Pradesh,Moradabad
Naraura,Uttar Pradesh,Bulandshahr
Naravarikuppam,Tamil Nadu,Thiruvallur
Narayanavanam,Andhra Pradesh,Chittoor
Narayangarh,Madhya Pradesh,Mandsaur
Narayanpet,Andhra Pradesh,Mahbubnagar
Naregal,Karnataka,Gadag
Narendra Nagar,Uttaranchal,Tehri Garhwal
Nargund,Karnataka,Gadag
Narkanda,Himachal Pradesh,Shimla
Narkatiaganj,Bihar,Pashchim Champaran
Narkhed,Maharashtra,Nagpur
Narnaul,Haryana,Mahendragarh
Narnaund,Haryana,Hisar
Narsapur,Andhra Pradesh,West Godavari
Narsimhapur,Madhya Pradesh,Narsimhapur
Narsingarh,Tripura,West Tripura
Narsinghgarh,Madhya Pradesh,Rajgarh
Narsingi,Andhra Pradesh,Rangareddi
Narsipatnam,Andhra Pradesh,Visakhapatnam
Narwana,Haryana,Jind
Narwar,Madhya Pradesh,Shivpuri
Nashik,Maharashtra,Nashik
Nasirabad,Rajasthan,Ajmer
Nasiyanur,Tamil Nadu,Erode
Naspur,Andhra Pradesh,Adilabad
Nasra,West Bengal,Nadia
Nasrullaganj,Madhya Pradesh,Sehore
Natham,Tamil Nadu,Dindigul
Nathampannai,Tamil Nadu,Pudukkottai
Nathdwara,Rajasthan,Rajsamand
Natibpur,West Bengal,Haora
Natrampalli,Tamil Nadu,Vellore
Nattapettai,Tamil Nadu,Kancheepuram
Nattarasankottai,Tamil Nadu,Sivaganga
Naubaisa Gaon,Assam,Jorhat
Naudhia,Madhya Pradesh,Sidhi
Naugachhia,Bihar,Bhagalpur
